Date,Open,High,Low,Close,Adj Close,Volume
"Apr 10, 2024",172.41,175.32,163.81,173.44,173.44,"3,344,074,648"
"Apr 9, 2024",180.78,180.83,169.37,172.41,172.41,"2,688,188,866"
"Apr 8, 2024",179.65,184.30,175.59,180.78,180.78,"2,744,377,905"
"Apr 7, 2024",178.92,182.54,177.07,179.65,179.65,"1,854,793,003"
"Apr 6, 2024",174.50,179.70,173.87,178.92,178.92,"4,672,922,789"
"Apr 5, 2024",183.96,184.98,168.24,174.50,174.50,"7,398,400,404"
"Apr 4, 2024",185.25,190.07,180.51,183.96,183.96,"4,101,220,964"
"Apr 3, 2024",181.17,191.69,177.40,185.25,185.25,"4,160,370,221"
"Apr 2, 2024",192.57,192.57,176.13,181.17,181.17,"4,553,269,015"
"Apr 1, 2024",202.87,204.18,187.49,192.57,192.57,"3,872,515,434"
"Mar 31, 2024",194.38,203.03,194.04,202.87,202.87,"2,342,185,476"
"Mar 30, 2024",192.23,199.73,191.22,194.39,194.39,"2,999,311,846"
"Mar 29, 2024",189.62,192.97,183.65,192.23,192.23,"3,031,009,580"
"Mar 28, 2024",186.36,190.88,181.00,189.62,189.62,"2,910,414,256"
"Mar 27, 2024",190.70,192.50,180.42,186.36,186.36,"3,844,985,014"
"Mar 26, 2024",189.08,196.29,186.75,190.70,190.70,"3,520,179,571"
"Mar 25, 2024",183.57,194.43,181.25,189.08,189.08,"4,066,489,821"
"Mar 24, 2024",172.90,186.63,171.67,183.57,183.57,"2,661,231,893"
"Mar 23, 2024",174.36,178.80,171.02,172.90,172.90,"2,711,581,881"
"Mar 22, 2024",179.24,181.32,167.88,174.36,174.36,"4,150,938,142"
"Mar 21, 2024",191.55,195.31,176.28,179.22,179.22,"5,613,811,275"
"Mar 20, 2024",170.02,192.91,163.30,191.55,191.55,"8,673,957,460"
"Mar 19, 2024",195.99,198.24,166.18,170.02,170.02,"11,658,593,922"
"Mar 18, 2024",202.12,209.70,194.85,195.99,195.99,"11,137,647,410"
"Mar 17, 2024",181.88,204.29,179.23,202.12,202.12,"10,876,218,562"
"Mar 16, 2024",182.97,197.66,177.46,181.88,181.88,"11,794,134,069"
"Mar 15, 2024",176.68,188.50,165.41,182.96,182.96,"14,093,348,410"
"Mar 14, 2024",163.84,177.89,160.23,176.68,176.68,"8,399,967,972"
"Mar 13, 2024",151.02,166.45,148.95,163.84,163.84,"5,917,471,836"
"Mar 12, 2024",148.75,154.94,142.87,151.02,151.02,"6,413,617,983"
"Mar 11, 2024",144.51,150.02,137.63,148.75,148.75,"5,383,624,184"
"Mar 10, 2024",144.61,148.67,140.84,144.52,144.52,"3,407,621,981"
"Mar 9, 2024",145.24,149.35,144.29,144.61,144.61,"2,946,261,381"
"Mar 8, 2024",143.98,152.42,142.54,145.24,145.24,"5,474,659,974"
"Mar 7, 2024",130.74,149.22,130.70,143.98,143.98,"7,111,178,325"
"Mar 6, 2024",125.70,134.81,120.32,130.74,130.74,"5,146,680,159"
"Mar 5, 2024",133.16,142.65,109.54,125.71,125.71,"8,980,294,607"
"Mar 4, 2024",130.42,134.87,127.80,133.19,133.19,"4,429,758,300"
"Mar 3, 2024",129.79,132.06,125.77,130.45,130.45,"2,875,614,168"
"Mar 2, 2024",129.98,131.45,127.68,129.70,129.70,"2,741,772,676"
"Mar 1, 2024",125.64,137.60,125.64,129.99,129.99,"4,743,077,738"
"Feb 29, 2024",118.24,134.47,117.67,125.71,125.71,"6,950,123,902"
"Feb 28, 2024",108.40,118.05,107.46,118.05,118.05,"5,029,492,553"
"Feb 27, 2024",109.92,112.20,105.90,108.39,108.39,"2,723,995,106"
"Feb 26, 2024",103.45,110.58,100.46,109.92,109.92,"2,334,408,023"
"Feb 25, 2024",104.13,104.33,102.17,103.45,103.45,"909,662,462"
"Feb 24, 2024",99.95,104.65,98.59,104.13,104.13,"1,083,637,514"
"Feb 23, 2024",101.67,103.02,98.96,99.95,99.95,"1,483,285,120"
"Feb 22, 2024",105.12,107.00,101.64,101.67,101.67,"1,830,636,004"
"Feb 21, 2024",108.45,108.45,100.41,105.13,105.13,"2,246,861,647"
"Feb 20, 2024",111.48,112.04,104.89,108.46,108.46,"2,656,976,089"
"Feb 19, 2024",112.18,114.72,111.08,111.49,111.49,"1,898,655,220"
"Feb 18, 2024",108.99,114.00,107.61,112.17,112.17,"1,516,321,334"
"Feb 17, 2024",110.44,111.07,106.13,108.98,108.98,"1,370,606,631"
"Feb 16, 2024",113.67,114.25,108.35,110.45,110.45,"1,921,299,579"
"Feb 15, 2024",116.99,118.31,111.78,113.70,113.70,"2,471,486,178"
"Feb 14, 2024",112.57,118.33,110.88,116.98,116.98,"2,391,239,729"
"Feb 13, 2024",111.98,114.81,108.49,112.58,112.58,"2,709,494,768"
"Feb 12, 2024",107.49,112.07,103.61,111.99,111.99,"2,650,731,894"
"Feb 11, 2024",109.12,110.56,107.36,107.50,107.50,"1,370,383,843"
"Feb 10, 2024",106.93,110.74,106.93,109.13,109.13,"1,836,561,570"
"Feb 9, 2024",102.79,108.99,102.79,106.93,106.93,"2,852,770,180"
"Feb 8, 2024",101.00,104.80,100.55,102.79,102.79,"2,288,429,230"
"Feb 7, 2024",96.86,101.24,94.72,100.98,100.98,"1,733,607,189"
"Feb 6, 2024",95.55,97.79,93.28,96.86,96.86,"1,699,997,346"
"Feb 5, 2024",95.47,98.54,94.29,95.55,95.55,"1,635,327,054"
"Feb 4, 2024",97.89,98.46,95.27,95.48,95.48,"1,304,106,726"
"Feb 3, 2024",100.45,101.06,96.81,97.88,97.88,"1,349,320,819"
"Feb 2, 2024",97.83,102.41,97.57,100.44,100.44,"2,574,044,077"
"Feb 1, 2024",97.02,97.94,93.38,97.85,97.85,"2,951,395,444"
"Jan 31, 2024",101.45,102.55,96.10,97.03,97.03,"3,814,467,068"
"Jan 30, 2024",101.57,106.21,101.11,101.47,101.47,"3,328,090,833"
"Jan 29, 2024",95.94,101.77,95.18,101.57,101.57,"2,604,890,575"
"Jan 28, 2024",94.18,99.38,93.54,95.94,95.94,"2,425,625,612"
"Jan 27, 2024",92.39,94.44,90.84,94.16,94.16,"1,256,585,307"
"Jan 26, 2024",86.89,93.53,86.15,92.44,92.44,"2,027,305,107"
"Jan 25, 2024",88.74,89.38,85.27,86.89,86.89,"1,674,093,024"
"Jan 24, 2024",84.29,89.27,83.42,88.73,88.73,"2,352,477,736"
"Jan 23, 2024",83.62,85.84,79.07,84.27,84.27,"2,990,436,327"
"Jan 22, 2024",90.90,91.64,82.66,83.62,83.62,"2,662,287,481"
"Jan 21, 2024",92.59,93.71,90.85,90.85,90.85,"894,963,197"
"Jan 20, 2024",93.39,94.03,90.49,92.57,92.57,"1,204,443,546"
